,ID,players_turn,decision_consistency,coalition_suggestion,C0,C1,C2,C3,C4,C5,C6,S0,S1,S2,S3,S4,S5,S6,R0,R1,R2,R3,R4,R5,R6,round_num,CP,in_cp,Reward
12,206,2,2,2,0,0,1,2,3,1,3,0,0,0,0,0,0,0,0,0,1,2,3,1,3,8,-1,-1,1.5
2,207,1,1,0,0,1,2,3,4,5,6,1,0,0,0,1,0,1,0,1,2,2,3,4,5,1,-1,-1,1
3,207,0,0,0,0,1,2,2,3,4,5,1,0,0,0,0,1,0,0,1,2,2,3,4,5,1,-1,-1,1
4,207,1,1,1,0,1,2,2,3,4,5,1,0,0,0,0,0,1,0,1,2,2,3,4,5,2,-1,-1,1
5,207,1,1,0,0,1,2,2,3,4,5,1,1,1,1,1,1,1,0,1,2,2,3,4,5,3,-1,-1,1
6,207,1,1,1,0,1,2,2,3,4,5,1,1,0,0,0,0,0,0,0,1,1,2,3,4,4,-1,-1,1.5
7,207,1,1,1,0,0,1,1,2,1,2,1,1,1,1,0,1,0,0,0,1,1,2,1,2,5,-1,-1,1.5
8,207,1,1,1,0,0,1,1,2,1,2,1,0,1,1,0,1,0,0,1,0,0,2,0,2,6,0,0,1.75
9,207,2,2,2,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,2,6,0,0,1.75
2,208,1,1,0,0,1,2,3,4,5,6,1,1,0,1,1,0,1,0,1,2,3,4,5,4,1,-1,-1,1
3,208,1,1,0,0,1,2,3,4,5,4,1,0,1,0,1,0,1,0,1,2,3,4,5,4,2,-1,-1,1
4,208,0,0,0,0,1,2,3,4,5,4,1,1,0,0,0,0,0,0,1,2,3,4,5,4,2,-1,-1,1
5,208,1,1,1,0,1,2,3,4,5,4,1,0,0,0,0,0,1,0,1,2,3,4,5,4,3,-1,-1,1
6,208,1,1,0,0,1,2,3,4,5,4,1,1,1,0,0,1,0,0,0,0,1,2,0,2,4,-1,-1,1.5
7,208,2,2,2,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,2,4,-1,-1,1.5
2,3,1,1,0,0,1,2,3,4,5,6,1,1,1,1,1,1,1,0,1,2,3,4,5,6,1,-1,-1,1
3,3,0,1,1,0,1,2,3,4,5,6,1,0,0,1,0,0,0,0,1,2,0,3,4,5,1,-1,-1,1.5
4,3,1,1,1,0,1,2,0,3,4,5,1,0,0,0,0,0,1,0,1,2,0,3,4,5,2,-1,-1,1.5
5,3,0,1,0,0,1,2,0,3,4,5,1,0,0,0,0,1,0,0,1,2,0,3,4,5,2,-1,-1,1.5
